Latitude,Longitude,Dbm,Description,
-44.95,168.79,0,NA,
-44.95,168.79,2,NA,
-44.95,168.79,4,NA,
-44.95,168.79,6,NA,
-44.95,168.79,7,NA,
-44.95,168.79,8,NA,
-44.95,168.79,10,NA,
-44.95,168.79,12,NA,
-44.95,168.79,14,NA,
-44.95,168.79,16,NA,
-44.95,168.79,18,NA,
-44.95,168.79,20,NA,
-44.95,168.79,22,NA,
-44.95,168.79,24,NA,
-44.95,168.79,26,NA,
-44.95,168.79,28,NA,
-44.95,168.79,30,NA,
-44.95,168.79,32,NA,
-44.95,168.79,34,NA,
-44.95,168.79,36,NA,
-44.95,168.79,38,NA,
-44.95,168.79,40,NA,
-44.95,168.79,42,NA,
-44.95,168.79,44,NA,
-44.95,168.79,46,NA,
-44.95,168.79,48,NA,
-44.95,168.79,50,NA,
-44.95,168.79,52,NA,
-44.95,168.79,54,NA,
-44.95,168.8,56,NA,
-44.95,168.8,58,NA,
-44.95,168.8,60,NA,
-44.95,168.8,62,NA,
-44.95,168.8,64,NA,
-44.95,168.8,66,NA,
-44.95,168.8,0,NA,
-44.95,168.8,0,NA,
-44.95,168.8,0,NA,
-44.95,168.8,0,NA,
-44.95,168.8,0,NA,
-44.95,168.8,0,NA,
-44.95,168.8,80,NA,
-44.95,168.8,82,NA,
-44.95,168.8,84,NA,
-44.95,168.8,86,NA,
-44.95,168.8,88,NA,
-44.95,168.8,90,NA,
-44.95,168.8,92,NA,
-44.95,168.8,94,NA,
-44.95,168.8,96,NA,
-44.95,168.8,98,NA,
-44.95,168.8,100,NA,
-44.95,168.8,102,NA,
-44.95,168.8,104,NA,
-44.95,168.8,106,NA,
-44.95,168.8,108,NA,
-44.95,168.8,110,NA,
-44.95,168.8,112,NA,
-44.95,168.8,114,NA,
-44.95,168.8,116,NA,
-44.95,168.8,118,NA,
-44.95,168.8,120,NA,
-44.95,168.8,122,NA,
-44.95,168.81,124,NA,
-44.95,168.81,126,NA,
-44.95,168.81,128,NA,
-44.95,168.81,130,NA,
-44.95,168.81,132,NA,
-44.95,168.81,134,NA,
-44.95,168.81,136,NA,
-44.95,168.81,138,NA,
-44.95,168.81,140,NA,
-44.95,168.81,142,NA,
-44.95,168.81,144,NA,
-44.95,168.81,146,NA,
-44.95,168.81,148,NA,
-44.95,168.81,150,NA,
-44.95,168.81,152,NA,
-44.95,168.81,154,NA,
-44.95,168.81,156,NA,
-44.95,168.81,158,NA,
-44.95,168.81,255,NA,
-44.95,168.81,162,NA,
-44.95,168.81,164,NA,
-44.95,168.81,166,NA,
-44.95,168.81,200,NA,
-44.95,168.81,170,NA,
-44.95,168.82,172,NA,
-44.95,168.82,174,NA,
-44.95,168.82,176,NA,
-44.95,168.82,178,NA,
-44.95,168.82,180,NA,
-44.95,168.82,182,NA,
-44.95,168.82,184,NA,
-44.95,168.82,186,NA,
-44.95,168.82,188,NA,
-44.95,168.82,190,NA,
-44.95,168.82,192,NA,
-44.95,168.82,194,NA,
-44.95,168.82,196,NA,
